First_Name,Last_Name,Sex,University,Main_Genre
Faustina,Demke,Female,Iniciativa Universidad del Atlantico,Documentary|Musical
Skipton,Tomblett,Male,Naruto University of Education,Drama
Kirsti,Local,Female,Pomorsk State University,Drama|Thriller
Marlena,Roderighi,Female,"Rasmussen College, Florida Campuses",Comedy|Drama|Romance
Bartholomeus,Greengrass,Male,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Action
Gwenora,Discombe,Female,Fachhochschulstudiengänge der Wiener Wirtschaft,Comedy|Drama
Thaine,Brosel,Male,Ohio State University,Children|Drama
Tasha,Pretor,Female,Academy of Humanities and Economics in Lodz,Horror
Garnette,Grewcock,Female,"Institute of Teachers Education, Tuanku Bainun",Comedy|Drama
Branden,Mintoff,Male,Université de N'Djamena,Comedy|Drama|Romance
Clem,Mallan,Female,West Virginia University Institute of Technology,Drama
Ambur,Comizzoli,Female,Universidad Mariano Egaña,Action|Thriller
Alyssa,Bartomeu,Female,"National University of Ireland, Maynooth",Comedy
Annora,Chason,Female,Mzuzu University,Documentary
Bay,Fenix,Male,University of Lincoln,Action|Thriller
Griffy,Rickerby,Male,Université de Bangui,Comedy
Daffi,Augie,Female,Ecole Centrale d'Electronique - ECE,Comedy|Crime|Mystery|Thriller
Ario,Edgley,Male,The Queen's University Belfast,Drama|Musical
Elisha,Broadbere,Female,Royal University of Fine Arts,Comedy|Drama
Wilma,Brigge,Female,Nova Southeastern University,Drama
Randolf,Tomas,Male,Universidad de Gerona,Drama|War
Dore,Eblein,Male,Université des Sciences et de la Technologie d'Oran,Drama
Foss,Pickerell,Male,Alabama State University,Documentary
Anallese,Jedryka,Female,Pennsylvania State University - Milton S.Hershey Medical Center,Adventure|Children|Musical
Giorgia,Ottam,Female,Ohio University - Chillicothe,Drama
Yorgos,Zotto,Male,Universitas Haluoleo,Comedy|Drama
Nataline,William,Female,Middle Tennessee State University,Comedy|Musical|Romance
Eryn,Fenning,Female,University of the Punjab,Action
Bartel,Tattersill,Male,Mansfield University of Pennsylvania,Drama
Dani,Roizn,Female,Universitas Nusa Cendana,Drama
Aldric,Ipsly,Male,"Universidad Latinoamericana de Ciencia y Tecnologia, Panamá",Drama
Leopold,Hub,Male,Universidad Nacional de San Juan,Horror|Thriller
Tomlin,Clutram,Male,Elrazi College Of Medical & Technological Sciences,Action
Clayton,Chadbourn,Male,Alcorn State University,Drama
Loraine,Margetson,Female,Omsk State Transport University,Drama
Asher,Vivien,Male,Tougaloo College,Drama
Curtis,Digger,Male,University of Kordofan,Adventure
Grata,Hughes,Female,"Royal College of Music, University of London",Action|Drama
Brady,Antusch,Male,Erskine College,Horror
Siusan,Williamson,Female,Lewis and Clark College,Comedy|Drama
Jojo,Sharphurst,Female,Saratov State Medical University,Comedy
Lars,Canizares,Male,Meiji Gakuin University,Children|Comedy|Romance
Norton,Saphin,Male,Athenaeum of Ohio,(no genres listed)
Briant,Gladdis,Male,Kenya Medical Training College,Comedy|Drama
Em,Pauer,Female,College for Creative Studies,Drama|Romance
Fitzgerald,Orgee,Male,Tianjin University of Technology,Horror|War
Tedra,Skerm,Female,University of Management & Technology,Mystery|Romance|Thriller
Berke,Cornner,Male,University of Miskolc,Drama
Ernie,Boundy,Male,West Coast University (WCU),Drama|Romance
Geoff,McCathie,Male,Toyo Eiwa Women's University,Thriller
